CIDR,IP_Version,ASN,ISP_Name,Country_Code,Country_Name,Start_IP,End_IP,IP_Count
2.26.173.0/24,4,207513,"HOSTOFF LLC ""HOSTOFF CSL""",UA,Украина,2.26.173.0,2.26.173.255,256
2.27.57.0/24,4,207513,"HOSTOFF LLC ""HOSTOFF CSL""",UA,Украина,2.27.57.0,2.27.57.255,256
2.56.136.0/24,4,48031,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,2.56.136.0,2.56.136.255,256
2.56.168.0/24,4,43309,GIPERNET-AS GIPERNET LLC,UA,Украина,2.56.168.0,2.56.168.255,256
2.57.36.0/24,4,209117,IT-Lance FOP ZEIDA VLADISLAV BORISOVICH,UA,Украина,2.57.36.0,2.57.36.255,256
2.57.39.0/24,4,209117,IT-Lance FOP ZEIDA VLADISLAV BORISOVICH,UA,Украина,2.57.39.0,2.57.39.255,256
2.57.150.0/24,4,48031,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,2.57.150.0,2.57.150.255,256
2.57.204.0/22,4,197522,ISP-KIM-NET Kaluska informatsiyna merezha LLC,UA,Украина,2.57.204.0,2.57.207.255,1024
2.58.204.0/22,4,50581,UTG Ukrainian Telecommunication Group LLC,UA,Украина,2.58.204.0,2.58.207.255,1024
2.59.212.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,2.59.212.0,2.59.212.255,256
2.59.214.0/24,4,202656,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,2.59.214.0,2.59.214.255,256
5.1.0.0/23,4,31520,"Datagroup-Retail PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,5.1.0.0,5.1.1.255,512
5.1.2.0/23,4,15785,"AS3326-INFRA PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,5.1.2.0,5.1.3.255,512
5.1.4.0/22,4,31520,"Datagroup-Retail PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,5.1.4.0,5.1.7.255,1024
5.1.8.0/21,4,31520,"Datagroup-Retail PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,5.1.8.0,5.1.15.255,2048
5.1.16.0/20,4,31520,"Datagroup-Retail PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",UA,Украина,5.1.16.0,5.1.31.255,4096
5.8.20.0/22,4,39558,IPResurs-AS IP Resurs Ltd.,UA,Украина,5.8.20.0,5.8.23.255,1024
5.42.192.0/24,4,48031,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,5.42.192.0,5.42.192.255,256
5.42.195.0/24,4,48031,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,5.42.195.0,5.42.195.255,256
5.42.209.0/24,4,48031,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,5.42.209.0,5.42.209.255,256
5.42.210.0/24,4,48031,XServerCloud Ivanov Vitaliy Sergeevich,UA,Украина,5.42.210.0,5.42.210.255,256
5.44.250.0/24,4,49223,EVEREST-AS EVEREST TV AND RADIO COMPANY LLC,UA,Украина,5.44.250.0,5.44.250.255,256
5.44.252.0/24,4,3236,SERVER SERVER.UA LLC,UA,Украина,5.44.252.0,5.44.252.255,256
5.53.112.0/22,4,35297,DATALINE-AS Dataline LLC,UA,Украина,5.53.112.0,5.53.115.255,1024
5.53.116.0/24,4,59956,"S3WAY PP ""Lurenet""",UA,Украина,5.53.116.0,5.53.116.255,256
5.53.117.0/24,4,35297,DATALINE-AS Dataline LLC,UA,Украина,5.53.117.0,5.53.117.255,256
5.53.118.0/23,4,35297,DATALINE-AS Dataline LLC,UA,Украина,5.53.118.0,5.53.119.255,512
5.57.64.0/21,4,49332,MKC-AS Lanet Network Ltd,UA,Украина,5.57.64.0,5.57.71.255,2048
5.58.0.0/16,4,16223,"COLUMBUS-PE-TE MAXNET TELECOM, LTD",UA,Украина,5.58.0.0,5.58.255.255,65536
5.59.54.0/24,4,205946,ASDIPNET ISP DIPNET Ltd.,UA,Украина,5.59.54.0,5.59.54.255,256
5.59.106.0/23,4,56400,ASSPDChernega SPD Chernega Aleksandr Anatolevich,UA,Украина,5.59.106.0,5.59.107.255,512
5.59.170.0/24,4,211034,ASDISAVI Disavi Line Ltd.,UA,Украина,5.59.170.0,5.59.170.255,256
5.59.198.0/24,4,51500,SERVISNET-AS Servisnet Ltd.,UA,Украина,5.59.198.0,5.59.198.255,256
5.59.222.0/24,4,200467,SHARENKOV Oleksii Sharienkov,UA,Украина,5.59.222.0,5.59.222.255,256
5.105.0.0/22,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.0.0,5.105.3.255,1024
5.105.4.0/23,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.4.0,5.105.5.255,512
5.105.7.0/24,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.7.0,5.105.7.255,256
5.105.8.0/21,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.8.0,5.105.15.255,2048
5.105.16.0/20,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.16.0,5.105.31.255,4096
5.105.32.0/20,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.32.0,5.105.47.255,4096
5.105.48.0/21,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.48.0,5.105.55.255,2048
5.105.56.0/23,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.56.0,5.105.57.255,512
5.105.59.0/24,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.59.0,5.105.59.255,256
5.105.60.0/22,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.60.0,5.105.63.255,1024
5.105.64.0/18,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.64.0,5.105.127.255,16384
5.105.128.0/18,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.128.0,5.105.191.255,16384
5.105.192.0/19,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.192.0,5.105.223.255,8192
5.105.224.0/20,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.224.0,5.105.239.255,4096
5.105.240.0/24,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.240.0,5.105.240.255,256
5.105.242.0/23,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.242.0,5.105.243.255,512
5.105.244.0/23,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.244.0,5.105.245.255,512
5.105.247.0/24,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.247.0,5.105.247.255,256
5.105.248.0/21,4,204384,"SweetTV LLC ""OTT UKRAINE""",UA,Украина,5.105.248.0,5.105.255.255,2048
5.153.128.0/22,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.128.0,5.153.131.255,1024
5.153.132.0/24,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.132.0,5.153.132.255,256
5.153.133.0/24,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.133.0,5.153.133.255,256
5.153.134.0/23,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.134.0,5.153.135.255,512
5.153.136.0/23,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.136.0,5.153.137.255,512
5.153.138.0/24,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.138.0,5.153.138.255,256
5.153.139.0/24,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.139.0,5.153.139.255,256
5.153.140.0/22,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.140.0,5.153.143.255,1024
5.153.144.0/24,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.144.0,5.153.144.255,256
5.153.145.0/24,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.145.0,5.153.145.255,256
5.153.146.0/23,4,3261,"DIPT-AS LLC ""FTICOM""",UA,Украина,5.153.146.0,5.153.147.255,512
