ASN,AS_Handle,ISP_Organization_Name,Country_Code,Country_Name,Region,IPv4_CIDRs,IPv6_CIDRs,Total_IPv4_Addresses
749,DNIC-AS-00749,DNIC-AS-00749 - United States Department of Defense (DoD),US,США,United States,5169,0,222265856
16509,AMAZON-02,"AMAZON-02 - Amazon.com, Inc.",US,США,United States,7956,7547,155010558
7018,ATT-INTERNET4,"ATT-INTERNET4 - AT&T Enterprises, LLC",US,США,United States,7604,103,89228664
8075,MICROSOFT-CORP-MSN-AS-BLOCK,MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation,US,США,United States,1256,227,80740352
7922,COMCAST-7922,"COMCAST-7922 - Comcast Cable Communications, LLC",US,США,United States,3616,1947,42057472
701,UUNET,UUNET - Verizon Business,US,США,United States,4833,317,40576256
3320,DTAG,DTAG Internet service provider operations,DE,Германия,Europe,809,75,34154240
721,DNIC-ASBLK-00721-00726,DNIC-ASBLK-00721-00726 - United States Department of Defense (DoD),US,США,United States,5176,49,29374720
3356,LEVEL3,"LEVEL3 - Level 3 Parent, LLC",US,США,United States,4657,316,27343488
174,COGENT-174,"COGENT-174 - Cogent Communications, LLC",US,США,United States,9909,1359,24372351
14618,AMAZON-AES,"AMAZON-AES - Amazon.com, Inc.",US,США,United States,1075,484,21557760
3215,France,France Telecom - Orange,FR,Франция,Europe,603,25,20146688
3269,ASN-IBSNAZ,ASN-IBSNAZ Telecom Italia S.p.A.,IT,Италия,Europe,400,1,20090368
396982,GOOGLE-CLOUD-PLATFORM,GOOGLE-CLOUD-PLATFORM - Google LLC,US,США,United States,735,214,19959296
6167,CELLCO-PART,CELLCO-PART - Verizon Business,US,США,United States,560,896,18017280
714,APPLE-ENGINEERING,APPLE-ENGINEERING - Apple Inc.,US,США,United States,1468,824,16915200
31399,DAIMLER-AS,DAIMLER-AS Mercedes-Benz Group AG,DE,Германия,Europe,10,3,16805888
15557,LDCOMNET,LDCOMNET Societe Francaise Du Radiotelephone - SFR SA,FR,Франция,Europe,184,9,15810816
209,CENTURYLINK-US-LEGACY-QWEST,"CENTURYLINK-US-LEGACY-QWEST - CenturyLink Communications, LLC",US,США,United States,4906,97,15507200
2856,BT-UK-AS,BT-UK-AS British Telecommunications Limited,GB,Великобритания,Europe,506,5,13809664
21928,T-MOBILE-AS21928,"T-MOBILE-AS21928 - T-Mobile USA, Inc.",US,США,United States,127,193,13121792
3209,VODANET,VODANET International IP-Backbone of Vodafone,DE,Германия,Europe,197,14,12766208
22773,ASN-CXA-ALL-CCI-22773-RDC,ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.,US,США,United States,3112,2088,12763904
20115,CHARTER-20115,CHARTER-20115 - Charter Communications LLC,US,США,United States,1183,4579,12739840
22394,CELLCO,CELLCO - Verizon Business,US,США,United States,393,1854,12374528
